id	entry_id	annotationtype_id	start	end	value	string
4237	584	1	0	6	bold	árone
4238	584	1	7	17	italic	conj.pron.
4239	584	2	40	40	newline	""
4240	584	2	41	41	tab	""
4241	584	2	79	79	hyphen	""
4242	584	2	79	79	newline	""
4243	584	2	79	79	tab	""
4244	584	1	88	117	italic	Tsanéha dihñe nanímyé tah
4245	584	2	117	117	hyphen	""
4246	584	2	117	117	newline	""
4247	584	2	117	117	tab	""
4248	584	1	117	159	italic	jyá pañétu; árone uke ó óómíchoó.
4249	584	2	159	159	newline	""
4250	584	2	160	160	tab	""
4251	584	2	194	194	newline	""
4252	584	2	195	195	pagebreak	""
4253	584	2	195	195	tab	""
1702924	584	3	0	6	head	árone
1702925	584	3	17	86	translation	sin embargo ése (cosa o acción mencionada en la oración anterior)
1702926	584	3	88	159	example-src	Tsanéha dihñe nanímyé tahjyá pañétu; árone uke ó óómíchoó.
1702927	584	3	159	224	example-tgt	 Robaron algunas de tus cosas en mi casa, pero te las devolveré.
1702928	584	3	7	17	pos	conj.pron.
1722026	2311	3	0	8	head	chííí
1722027	2311	3	9	14	head	chíj
1722028	2311	3	15	22	pos	interj.
1722029	2311	3	22	27	translation	oh
1722030	2311	4	0	8	headorth	# ch ííí #
1722031	2311	4	9	14	headorthographic	# ch í j #
1722032	2311	1	0	14	bold	chííí/chíj
1722033	2311	1	15	22	italic	interj.
1722042	2333	3	0	9	head	chíhwaá
1722043	2333	3	11	18	head	chíhwa
1722044	2333	3	21	34	head	chíhwámutsi
1722045	2333	3	36	45	head	chíhwamu
1722046	2333	3	46	48	pos	s.
1722047	2333	3	49	85	translation	chicua (especie de pajarito agorero)
1722048	2333	4	0	9	headorthographic	# ch í h . w a . á #
1722049	2333	4	11	18	headorthographic	# ch í h . w a #
1722050	2333	4	21	34	headorthographic	# ch í h . w á . m u . ts i #
1722051	2333	4	36	45	headorthographic	# ch í h . w a . m u #
1722052	2333	1	0	41	bold	chíhwaá/[chíhwa], chíhwámutsi, chíh
1722053	2333	1	41	45	bold	wamu
1722054	2333	1	46	48	italic	s.
1722055	2333	1	101	116	italic	che-che-che-che
1722056	2333	1	151	159	italic	chíhwaa
1722057	2333	1	159	167	italic	chíhwaa
1722058	2333	2	41	41	hyphen	""
1722059	2333	2	41	41	newline	""
1722060	2333	2	41	41	tab	""
1722061	2333	2	76	76	newline	""
1722062	2333	2	77	77	tab	""
1722063	2333	2	116	116	newline	""
1722064	2333	2	117	117	tab	""
1722065	2333	2	159	159	hyphen	""
1722066	2333	2	159	159	newline	""
1722067	2333	2	159	159	tab	""
1722083	2411	3	0	7	head	dááá
1722084	2411	3	8	13	pos	onom.
1722085	2411	3	13	34	translation	talán de la campana
1722086	2411	3	36	97	example-src	Májtsíjyari cajpááná ihjyúvá dááádááá-dááá.
1722087	2411	3	97	173	example-tgt	 La campana suena talán, talán en la iglesia. (sinón. dyééé, dyúúú)
1722088	2411	4	0	7	headorth	# d ááá #
1722089	2411	1	0	7	bold	dááá
1722090	2411	1	8	13	italic	onom.
1722091	2411	1	36	40	italic	Máj
1722092	2411	1	40	80	italic	tsíjyari cajpááná ihjyúvá ‘dááá
1722093	2411	1	80	97	italic	dááá-dááá’.
1722094	2411	1	154	172	bold	dyééé, dyúúú
1722095	2411	2	40	40	hyphen	""
1722096	2411	2	40	40	newline	""
1722097	2411	2	40	40	tab	""
1722098	2411	2	80	80	hyphen	""
1722099	2411	2	80	80	newline	""
1722100	2411	2	80	80	tab	""
1722101	2411	2	117	117	hyphen	""
1722102	2411	2	117	117	newline	""
1722103	2411	2	117	117	tab	""
1722104	2411	2	153	153	newline	""
1722105	2411	2	154	154	tab	""
1722115	2513	3	0	15	head	déju éhnéjcu
1722116	2513	3	17	23	translation	detrás
1722117	2513	1	0	15	bold	déju éhnéjcu
1722118	2513	2	0	0	tab	""
1722119	2513	2	0	0	tab	""
1722120	2480	3	1	11	head	dáárɨ̱te
1722121	2480	3	13	16	pos	vi.
1722122	2480	3	19	27	translation	secarse
1722123	2480	3	29	83	example-src	Tsúúca ó dáárɨté nííjyabáne oke múriúcúne.
1722124	2480	3	83	128	example-tgt	 Ya se secó (mi ropa) mojada por la lluvia. 
1722125	2480	3	132	152	translation	secarse (la garganta)
1722126	2480	3	156	200	example-src	Ɨ́hnáhó o áiúcunúneri tájkye dáárɨté.
1722127	2480	3	200	248	example-tgt	La garganta se me secó por la fiebre que tuve.
1722128	2480	4	1	11	headorth	d áá r ɨ̱ t e
1722129	2480	1	0	12	bold	[dáárɨ̱te]
1722130	2480	1	13	16	italic	vi.
1722131	2480	1	29	40	italic	Tsúúca ó
1722132	2480	1	41	83	italic	dáárɨté nííjyabáne oke múriúcúne.
1722133	2480	1	156	171	italic	hnáhó o áiú
1722134	2480	1	171	200	italic	cunúneri tájkye dáárɨté.
1722135	2480	2	0	0	tab	""
1722136	2480	2	0	0	tab	""
1722137	2480	2	40	40	newline	""
1722138	2480	2	41	41	tab	""
1722139	2480	2	86	86	newline	""
1722140	2480	2	87	87	tab	""
1722141	2480	2	127	127	newline	""
1722142	2480	2	128	128	tab	""
1722143	2480	2	171	171	hyphen	""
1722144	2480	2	171	171	newline	""
1722145	2480	2	171	171	tab	""
1722146	2480	2	212	212	newline	""
1722147	2480	2	213	213	tab	""
1722148	2525	3	0	35	head	déné-déné-déné-juí-juí-juí
