id	title	author	year	isbn	bibtex_key	columns	pages	origfilepath	type	is_ready
1	Diccionario Bora—Castellano Castellano—Bora	Thiesen, Wesley & Thiesen, Eva	1998		thiesen1998	2	365		dictionary	t
2	Vocabulario Bilingüe Huitoto - Español y Español - Huitoto	Minor, Eugen E. & Minor, Dorothy A.	1987		minor1987	2	317		dictionary	t
3	Vocabulario Huitoto Muinane	Minor, Eugen E. & de Minor, Dorothy Hendrich	1971		minor1971	2	141		dictionary	t
4	Diccionario Huitoto Murui	Burtch, Shirley	1983		burtch1983	2	262		dictionary	t
5	Vocabulario Ocaina	Leach, Ilo M.	1969		leach1969	2	176		dictionary	t
6	Diccionario Bilingüe Muinane-Español Español-Muinane	Walton, James W. & Walton, Janice P. & de Buenaventure, Clementina Pakky	1997		walton1997	2	219		dictionary	t
7	Diccionario Uitoto-Español	Preuss, Konrad Theodor	1994		preuss1994	1	912		dictionary	t
8	Diccionario Achuar-Shiwiar ~ Castellano	Fast Mowitz, Gerhard & de Fast, Ruby Warkentin & Fast Warkentin, Daniel	2008		fastmowitz2008	2	517		dictionary	f
9	Vocabulario Aguaruna de Amazonas	Larson, Mildred L.	1996		larson1996	2	211		dictionary	f
10	Vocabulario Huambisa	Jakway, Martha	2008		jakway2008	2	226		dictionary	f
11	Chicham Diccionario Shuar-Castellano	Pellizaro, P. Siro M. & Náwech, Fausto Oswaldo	2005		pellizaronawech2005	1	556		dictionary	f
12	Diccionario Aguaruna ~ Castellano	Wipio Deicat, Gerardo	1996		wipiodeicat1996	2	296		dictionary	f
13	Análise descritiva e teórica do Katukino-Pano	de Aguiar, Maria Suelí	1994		aguiar1994	1	45		dictionary	t
14	Vocabulario Cashibo-Cacataibo	Shell, Olive	1987		shell1987	2	105		dictionary	t
15	Aspectos da Fonologia da Língua Kaxarari	Sousa, Gladys Cavalcante	2004		sousa2004	1	132		dictionary	t
16	Vocabulario Shipibo-Castellano	Loriot, James & Lauriault, Erwin & Day, Dwight	1993		loriot1993	2	554		dictionary	f
17	Lecciones para el aprendizaje del idioma mayoruna	Kneeland, Harriet	1979		kneeland1979	1	248		dictionary	f
18	Diccionario Capanahua	Montag, Susan	2008		montag2008	2	621		dictionary	f
19	Diccionario Amahuaca	Hyde, Sylvia	2008		hyde2008	2	154		dictionary	f
20	La Lengua Zápara del Ecuador	Stark, Louisa R.	1976		stark1976	1	174		dictionary	f
21	Mi Primer Diccionario	César Tamayo L.	1988		tamayo1988	1	190		dictionary	f
22	Vocabulario Siriano y Español	Trujillo, Olga	1980		trujillo1980	1	128		dictionary	f
23	Marĩ Yaye Mena Carapana, Yaia Yaye Mena Español Macãrĩcã Tuti	Metzger, Ronald G.	2000		metzger2000	2	157		dictionary	f
24	A Língua Dos Índios Yawanawá Do Acre	Paula, Aldir Santos de	2004		paula2004	1	302		dictionary	f
25	Les Nonuya et Les Okáina	Rivet, Paul & Wavrin, Robert de	1953		rivet1953	1	57		dictionary	f
26	Datos del idioma huariapano	Parker, Stephen	1992		parker1992	2	54		dictionary	f
27	Diccionario TUCANO - CASTELLANO	Gallo, M., Carlos, I.	1972		gallo1972	1	100		dictionary	f
28	Wirã ya, Peamasa ya wererituri	Tulio Alemán M., Reinaldo López H., Marion Miller	2000		aleman2000	2	133		dictionary	f
29	DICCIONARIO BILINGÜE	Waltz, Nathan E.	2007		waltz2007	2	514		dictionary	f
