id	dictdata_id	language_iso_id	language_bookname_id
1	1	1	2
2	2	1	4
3	3	1	2
4	4	1	2
5	5	1	2
6	6	1	4
7	7	1	4
8	8	1	2
9	9	10	10
10	10	1	2
11	11	11	11
12	12	1	2
13	13	12	13
14	14	1	2
15	15	1	2
16	16	11	11
17	17	3	16
18	18	1	2
19	19	75	17
20	20	76	19
21	21	1	2
22	22	77	20
23	23	1	22
24	24	1	2
25	25	79	23
26	26	1	2
27	27	80	24
28	28	1	2
29	29	66	26
30	30	57	27
31	31	1	4
32	32	3	16
33	33	182	31
34	33	9	32
35	33	7	33
36	34	184	34
37	35	1	2
38	36	1	4
39	37	1	4
40	38	1	4
41	39	1	4
42	40	1	4
43	41	1	4
44	42	1	2
45	43	3	16
46	44	1	2
47	45	1	2
48	46	1	2
49	47	189	46
50	48	1	2
51	49	1	48
52	49	2	49
53	50	2	50
54	51	2	50
55	52	2	50
56	53	2	50
57	54	2	50
58	55	2	50
59	56	2	50
