id	startpage	endpage	language_bookname_id	language_iso_id	book_id	component_id
48	1	367	96	50	42	
1	1	367	4	1	42	
2	1	367	50	2	42	
77	1	159	124	91	43	5
3	1	367	51	14	42	
49	1	367	97	51	42	
4	1	367	52	15	42	
5	1	367	53		42	
6	1	367	54		42	
7	1	367	55	16	42	
8	1	367	56	17	42	
50	1	367	98	52	42	
9	1	367	57	4	42	1
108	1	159	155	123	43	5
10	1	367	58	18	42	
51	1	367	99	53	42	
11	1	367	59	19	42	
12	1	367	60	20	42	
13	1	367	61	21	42	
52	1	367	100	54	42	
14	1	367	62	22	42	
15	1	367	63	23	42	
78	1	159	125	92	43	5
16	1	367	64	24	42	
53	1	367	101	55	42	
17	1	367	65	25	42	
18	1	367	66	26	42	
19	1	367	67	27	42	
54	1	367	102	56	42	
20	1	367	68	28	42	
21	1	367	69	29	42	
92	1	159	139	107	43	5
22	1	367	70	30	42	
55	1	367	103	57	42	
23	1	367	71	31	42	
24	1	367	72	32	42	
25	1	367	73	33	42	
56	1	367	104	58	42	
26	1	367	74	34	42	
27	1	367	75	35	42	
79	1	159	126	93	43	5
28	1	367	76	36	42	
57	1	367	105	59	42	
29	1	367	77	37	42	
30	1	367	78	38	42	
31	1	367	79	39	42	
58	1	367	106	60	42	
32	1	367	80	40	42	
33	1	367	81	41	42	
102	1	159	149	117	43	5
34	1	367	82	42	42	
59	1	367	107	61	42	
35	1	367	83	43	42	
36	1	367	84	44	42	
37	1	367	85	45	42	
60	1	367	108	62	42	
38	1	367	86	46	42	
80	1	159	127	95	43	5
39	1	367	87	5	42	1
61	1	367	109	63	42	
40	1	367	88	4	42	1
62	1	367	110	64	42	
41	1	367	89	7	42	1
93	1	159	140	108	43	5
42	1	367	90	8	42	1
63	1	367	111	65	42	
43	1	367	91	6	42	1
64	1	367	112	66	42	
44	1	367	92	9	42	1
45	1	367	93	47	42	
81	1	159	128	96	43	5
46	1	367	94	48	42	
65	1	367	113	18	42	
47	1	367	95	49	42	
122	1	159	169	136	43	5
66	1	367	114	68	42	
113	1	159	160	127	43	5
67	1	367	115	69	42	
82	1	159	129	97	43	5
68	1	367	116	70	42	
69	1	367	117	71	42	
94	1	159	141	109	43	5
70	1	367	118	72	42	
71	1	367	119	73	42	
83	1	159	130	98	43	5
72	1	159	50	2	43	5
103	1	159	150	118	43	5
73	1	159	120	87	43	5
84	1	159	131	99	43	5
74	1	159	121	88	43	5
95	1	159	142	110	43	5
75	1	159	122	89	43	5
85	1	159	132	100	43	5
76	1	159	123	90	43	5
109	1	159	156	123	43	5
96	1	159	143	111	43	5
86	1	159	133	101	43	5
104	1	159	151	119	43	5
87	1	159	134	102	43	5
97	1	159	144	112	43	5
88	1	159	135	103	43	5
89	1	159	136	104	43	5
116	1	159	163	130	43	5
98	1	159	145	113	43	5
90	1	159	137	105	43	5
105	1	159	152	120	43	5
91	1	159	138	106	43	5
99	1	159	146	114	43	5
110	1	159	157	124	43	5
100	1	159	147	115	43	5
106	1	159	153	121	43	5
101	1	159	148	116	43	5
114	1	159	161	128	43	5
107	1	159	154	122	43	5
111	1	159	158	125	43	5
118	1	159	165	132	43	5
112	1	159	159	126	43	5
117	1	159	164	131	43	5
115	1	159	162	129	43	5
123	1	159	170	137	43	5
120	1	159	167	134	43	5
119	1	159	166	133	43	5
121	1	159	168	135	43	5
124	1	159	171	138	43	5
125	1	159	172	139	43	5
126	1	159	173	140	43	5
127	1	159	174	141	43	5
128	1	159	175	142	43	5
129	1	159	176	143	43	5
130	1	159	177	144	43	5
131	1	159	178	145	43	5
132	1	159	179	146	43	5
133	1	159	180	147	43	5
134	1	159	181	148	43	5
135	1	159	182	149	43	5
157	1	80	204	86	43	5
136	1	159	183	150	43	5
137	1	159	184	151	43	5
158	1	80	205	84	43	5
138	1	159	185	152	43	5
139	1	159	186	153	43	5
159	1	80	206	171	43	5
140	1	159	187	154	43	5
141	1	159	188	155	43	5
160	1	80	207	172	43	5
142	1	159	189	156	43	5
143	1	159	190	157	43	5
161	1	80	208	173	43	5
144	1	159	191	158	43	5
145	1	159	192	159	43	5
162	1	80	209	174	43	5
146	1	159	193	160	43	5
147	1	159	194	161	43	5
163	1	80	210	175	43	5
148	1	159	195	162	43	5
149	1	159	196	163	43	5
164	1	80	211	176	43	5
150	1	159	197	164	43	5
151	1	159	198	165	43	5
165	1	80	212	85	43	5
152	1	159	199	166	43	5
153	1	159	200	167	43	5
166	1	80	213	82	43	5
154	1	159	201	168	43	5
155	1	159	202	169	43	5
167	1	80	214	81	43	5
156	1	159	203	170	43	5
168	1	80	215	83	43	5
169	1	80	216	177	43	5
170	1	80	217	178	43	5
171	1	80	218	179	43	5
172	1	80	219	180	43	5
