id	fullentry	startpage	endpage	startcolumn	endcolumn	pos_on_page	concept_id	wordlistdata_id	has_manual_annotations
1	-íinanee	1	1	1	1	25	1	3	f
2	póʔta-ʃ	1	1	1	1	53	1	70	f
3	kon-gi̵ra	1	1	1	1	12	1	23	f
4	kʰĩrã́me	1	1	1	1	8	1	5	f
5	jẽ́ˈbẽ́-ro	1	1	1	1	36	1	65	f
6	p-ébrat	1	1	1	1	57	1	32	f
7	jãʔˈbã-dõ	1	1	1	1	34	1	67	f
8	meukʰĩir Acento no se ha indicado (stress has not been marked).	1	1	1	1	9	1	66	f
9	kálʲu	1	1	1	1	23	1	30	f
10	lengua	1	1	1	1	1	1	1	f
11	kobi̵nə	1	1	1	1	15	1	7	f
12	pe-éba-to	1	1	1	1	56	1	14	f
13	jẽˈbẽro	1	1	1	1	37	1	10	f
14	jẽbẽ́-rõ	1	1	1	1	45	1	11	f
15	ˈʤeme-ɲo	1	1	1	1	48	1	33	f
16	–	1	1	1	1	31	1	8	f
17	ˈjẽ́bẽ-rõ	1	1	1	1	39	1	71	f
18	kʰĩrã́me† + kʰẽrã́me	1	1	1	1	3	1	24	f
20	jeméɸikitiali† Giacone: ue-ninéne; uecnená	1	1	1	1	71	1	6	f
21	néxe-ba	1	1	1	1	68	1	42	f
22	wa-nène	1	1	1	1	27	1	48	f
23	ni̵ik²	1	1	1	1	61	1	38	f
24	rẽˈrõkaʔ-ka	1	1	1	1	46	1	59	f
25	-eʔhéepé	1	1	1	1	32	1	51	f
26	jẽʔˈbẽdõ	1	1	1	1	35	1	50	f
27	niˈli̵† Datos tentativos (tentative data)	1	1	1	1	18	1	63	f
28	nikaka	1	1	1	1	20	1	62	f
29	kùwa	1	1	1	1	14	1	60	f
30	jeméɸikitiali† Giacone: ue-ninéne; uecnená	1	1	1	1	71	1	61	f
31	thune	1	1	1	1	16	1	46	f
32	i.ɯ́ɸe	1	1	1	1	65	1	39	f
33	nɔ̃h kæd	1	1	1	1	63	1	31	f
34	i.ɯ́pe	1	1	1	1	66	1	43	f
35	kʰĩrãmé	1	1	1	1	6	1	58	f
36	pe-e:-bári̵-to	1	1	1	1	55	1	26	f
37	wal-lená† Véase (See) 234	1	1	1	1	28	1	69	f
38	pe-é-bor-to	1	1	1	1	54	1	47	f
39	ˈjẽˈbẽ-ˈrõ	1	1	1	1	42	1	56	f
40	ní̵í̵xi̵-kʷa† + mé-ʔ ní̵xi̵-kʷa	1	1	1	1	69	1	9	f
41	iiniˈko	1	1	1	1	52	1	15	f
42	nili̵	1	1	1	1	17	1	27	f
43	ihka	1	1	1	1	21	1	13	f
44	kʰẽrẽ́me	1	1	1	1	5	1	17	f
45	kuáaʔ	1	1	1	1	13	1	16	f
46	nuneni† = ‘mi-lengua’ (‘my-tongue’)	1	1	1	1	30	1	12	f
47	i.ɯɸe	1	1	1	1	64	1	41	f
48	peh kaʧ-iéʔ-t Por falta de un análisis adecuado, no se incluyen las vocales alargadas, que posiblemente son fonemáticas.	1	1	1	1	58	1	28	f
49	ˈdẽ́-diru, ˈdẽ́-ru	1	1	1	1	40	1	22	f
50	koríʔgəni̵	1	1	1	1	10	1	29	f
51	jankwixia	1	1	1	1	19	1	4	f
52	tongue	1	1	1	1	2	1	2	f
53	no-enene	1	1	1	1	26	1	19	f
54	ˈjẽbẽ-rõ	1	1	1	1	43	1	18	f
55	kʰĩrã́me	1	1	1	1	7	1	25	f
56	heˈbẽ́-do	1	1	1	1	47	1	21	f
57	kʰĩrã́me	1	1	1	1	4	1	20	f
58	hĩɲṍṍʔɸɯ	1	1	1	1	67	1	44	f
59	jẽbẽ-rõ	1	1	1	1	44	1	37	f
60	dĩ̵k³	1	1	1	1	62	1	34	f
61	dẽʔ-ˈdí-ru	1	1	1	1	41	1	55	f
62	jẽˈbẽ́-rõ	1	1	1	1	38	1	64	f
63	huáŋ-gəldə	1	1	1	1	11	1	35	f
64	jẽʔbẽ́-rõ	1	1	1	1	33	1	57	f
65	biʧtá-xa	1	1	1	1	22	1	36	f
66	zẽˈmẽ-jõ	1	1	1	1	49	1	53	f
67	anene	1	1	1	1	59	1	54	f
68	dok	1	1	1	1	60	1	49	f
69	ní̵í̵hi̵kʷa, í̵ʔní̵hi̵kʷat	1	1	1	1	70	1	40	f
70	dẽbẽ to-jo	1	1	1	1	51	1	45	f
71	semẽ-ˈjo	1	1	1	1	50	1	52	f
